date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2026-02-03,short,2026-02-03 09:15:00+05:30,2026-02-03 09:45:00+05:30,26308.05,25693.97,26358.05,25693.97,604.08,tgt,4.9
2026-02-09,short,2026-02-09 09:15:00+05:30,2026-02-09 09:40:00+05:30,25888.7,25781.15,25938.7,25781.15,97.55,tgt,0.84
2026-02-23,short,2026-02-23 09:15:00+05:30,2026-02-23 09:20:00+05:30,25678.4,25728.4,25728.4,25622.15,-60.0,sl,0.44
2026-03-05,short,2026-03-05 09:15:00+05:30,2026-03-05 09:35:00+05:30,24615.95,24544.95,24665.95,24544.95,61.0,tgt,0.58
2026-03-10,short,2026-03-10 09:15:00+05:30,2026-03-10 09:20:00+05:30,24280.8,24143.3,24330.8,24143.3,127.5,tgt,1.15
2026-03-17,short,2026-03-17 09:15:00+05:30,2026-03-17 09:20:00+05:30,23493.2,23393.2,23543.2,23424.4,90.0,tgt,0.59
2026-03-24,short,2026-03-24 09:15:00+05:30,2026-03-24 10:05:00+05:30,22878.45,22685.55,22928.45,22685.55,182.9,tgt,1.72
2026-03-25,short,2026-03-25 09:15:00+05:30,2026-03-25 09:20:00+05:30,23064.4,23162.2,23114.4,23011.4,-107.8,sl,0.46
2026-04-01,short,2026-04-01 09:15:00+05:30,2026-04-01 14:45:00+05:30,22899.0,22639.1,22949.0,22639.1,249.9,tgt,2.32
2026-04-06,short,2026-04-06 09:15:00+05:30,2026-04-06 09:20:00+05:30,22780.3,22671.3,22830.3,22740.5,99.0,tgt,0.35
2026-04-08,short,2026-04-08 09:15:00+05:30,2026-04-08 09:20:00+05:30,23855.15,23905.15,23905.15,23492.55,-60.0,sl,3.14
2026-04-10,short,2026-04-10 09:15:00+05:30,2026-04-10 09:20:00+05:30,23880.55,23966.85,23930.55,23823.3,-96.3,sl,0.48
2026-04-15,short,2026-04-15 09:15:00+05:30,2026-04-15 09:20:00+05:30,24163.8,24231.6,24213.8,23991.35,-77.8,sl,1.45
2026-04-16,short,2026-04-16 09:15:00+05:30,2026-04-16 09:45:00+05:30,24385.2,24298.55,24435.2,24298.55,76.65,tgt,0.72
