date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2024-11-27,long,2024-11-27 07:45:00,24351.55,2024-11-28 04:45:00,24145.65,,,-205.9,5,0,240,-297.0,0.0,Target
2024-11-28,short,2024-11-28 05:45:00,24054.55,2024-11-29 08:45:00,24157.45,,,-102.9,11,0,600,-133.9,181.2,Target
2024-12-03,long,2024-12-03 03:45:00,24367.5,2024-12-05 04:45:00,24366.3,,,-1.2,16,0,900,-71.95,205.7,Target
2024-12-05,long,2024-12-05 05:45:00,24573.2,2024-12-10 06:45:00,24580.05,,,6.85,23,0,1320,-78.15,284.55,Target
2024-12-13,short,2024-12-13 03:45:00,24498.35,2024-12-13 06:45:00,24675.25,,,-176.9,4,0,180,-189.85,317.55,Target
2024-12-13,long,2024-12-13 07:45:00,24691.75,2024-12-17 03:45:00,24574.8,,,-116.95,11,0,600,-189.9,100.55,Target
2024-12-18,short,2024-12-18 04:45:00,24231.8,2024-12-27 03:45:00,23854.5,,,377.3,42,0,2460,-35.45,694.45,Target
2024-12-27,long,2024-12-27 04:45:00,23931.9,2024-12-30 07:45:00,23709.1,,,-222.8,11,0,600,-301.3,0.0,Target
2024-12-30,short,2024-12-30 08:45:00,23630.6,2025-01-01 04:45:00,23709.65,,,-79.05,11,0,600,-130.9,170.15,Target
2025-01-02,long,2025-01-02 04:45:00,23915.35,2025-01-06 03:45:00,23976.0,,,60.65,14,0,780,-3.9,311.35,Target
2025-01-06,short,2025-01-06 05:45:00,23711.15,2025-01-15 03:45:00,23264.95,,,446.2,48,0,2820,-84.05,663.9,Target
2025-01-16,long,2025-01-16 03:45:00,23377.25,2025-01-17 04:45:00,23159.25,,,-218.0,9,0,480,-276.9,0.0,Target
2025-01-21,long,2025-01-21 03:45:00,23421.65,2025-01-21 04:45:00,23170.65,,,-251.0,2,0,60,-293.95,0.0,Target
2025-01-21,short,2025-01-21 08:45:00,23100.35,2025-01-23 04:45:00,23235.4,,,-135.05,11,0,600,-145.85,119.05,Target
2025-01-24,long,2025-01-24 05:45:00,23296.55,2025-01-24 08:45:00,23102.9,,,-193.65,4,0,180,-246.55,22.85,Target
2025-01-27,short,2025-01-27 03:45:00,22940.15,2025-01-28 06:45:00,23040.9,,,-100.75,11,0,600,-128.75,153.25,Target
2025-01-29,long,2025-01-29 07:45:00,23168.6,2025-02-03 03:45:00,23318.3,,,149.7,25,0,1440,-53.5,463.85,Target
2025-02-04,long,2025-02-04 06:45:00,23632.45,2025-02-06 03:45:00,23625.4,,,-7.05,12,0,660,-13.9,174.85,Target
2025-02-07,short,2025-02-07 04:45:00,23493.9,2025-02-13 03:45:00,23144.7,,,349.2,28,0,1620,-200.6,695.55,Target
2025-02-14,short,2025-02-14 06:45:00,22798.35,2025-02-17 08:45:00,22966.45,,,-168.1,10,0,540,-172.4,72.9,Target
2025-02-19,long,2025-02-19 04:45:00,22996.2,2025-02-20 03:45:00,22814.85,,,-181.35,7,0,360,-183.45,27.35,Target
2025-02-21,short,2025-02-21 03:45:00,22801.5,2025-03-05 03:45:00,22174.15,,,627.35,50,0,2940,-22.95,836.9,Target
2025-03-05,long,2025-03-05 04:45:00,22280.0,2025-03-10 08:45:00,22498.65,,,218.65,26,0,1500,-34.15,396.75,Target
2025-03-11,short,2025-03-11 03:45:00,22319.95,2025-03-17 03:45:00,22558.05,,,-238.1,22,0,1260,-257.45,0.0,Target
2025-03-18,long,2025-03-18 03:45:00,22662.25,2025-03-25 09:45:00,23613.25,,,951.0,42,0,2460,0.0,1207.35,Target
2025-03-27,short,2025-03-27 03:45:00,23433.95,2025-03-27 09:45:00,23638.05,,,-204.1,7,0,360,-212.5,0.0,Target
2025-04-01,short,2025-04-01 03:45:00,23341.1,2025-04-02 08:45:00,23311.9,,,29.2,13,0,720,-142.6,204.7,Target
2025-04-04,short,2025-04-04 03:45:00,23136.4,2025-04-08 06:45:00,22577.55,,,558.85,18,0,1020,0.0,1392.75,Target
2025-04-11,long,2025-04-11 03:45:00,22697.2,2025-04-25 03:45:00,24216.15,,,1518.95,57,0,3360,0.0,1668.25,Target
2025-04-25,short,2025-04-25 04:45:00,23950.15,2025-04-29 03:45:00,24370.7,,,-420.55,14,0,780,-507.5,102.3,Target
2025-05-02,long,2025-05-02 03:45:00,24457.65,2025-05-06 08:45:00,24356.75,,,-100.9,20,0,1140,-219.15,129.6,Target
2025-05-07,short,2025-05-07 03:45:00,24233.3,2025-05-12 03:45:00,24420.1,,,-186.8,22,0,1260,-504.5,297.55,Target
2025-05-12,long,2025-05-12 05:45:00,24737.8,2025-05-13 07:45:00,24597.6,,,-140.2,10,0,540,-161.8,236.0,Target
2025-05-15,short,2025-05-15 03:45:00,24535.55,2025-05-15 04:45:00,24767.55,,,-232.0,2,0,60,-272.2,2.35,Target
2025-05-15,long,2025-05-15 07:45:00,24973.8,2025-05-19 07:45:00,24953.05,,,-20.75,15,0,840,-54.5,142.45,Target
2025-05-20,short,2025-05-20 06:45:00,24844.55,2025-05-23 04:45:00,24829.85,,,14.7,20,0,1140,-101.65,382.15,Target
2025-05-26,long,2025-05-26 03:45:00,24946.2,2025-05-27 03:45:00,24819.3,,,-126.9,8,0,420,-208.5,102.05,Target
2025-05-29,short,2025-05-29 06:45:00,24704.1,2025-05-29 09:45:00,24889.7,,,-185.6,4,0,180,-188.5,0.0,Target
2025-06-02,short,2025-06-02 03:45:00,24669.7,2025-06-03 03:45:00,24801.7,,,-132.0,8,0,420,-175.4,115.5,Target
2025-06-03,short,2025-06-03 06:45:00,24526.15,2025-06-05 03:45:00,24691.2,,,-165.05,12,0,660,-235.35,9.65,Target
2025-06-05,long,2025-06-05 05:45:00,24845.1,2025-06-12 03:45:00,25081.3,,,236.2,34,0,1980,-173.65,377.3,Target
